#OTU ID;I1_meso;I2_meso;I2_thermo;I3_meso;I3_thermo
8017d4966f74ec1b79141d9cc83a257e;4,811250925;0;0;0;0
c02b895f56b94caefd5d1262d48ce347;0;0;0;0;0
355ff8fc783f81467921ef76072c39ba;0,074019245;0;0;0;0
10fdd56e38290bb1380146bfec72bdc8;0;0;0;0;0
0b80cb28599f3fdb6502aa64d94e53fc;0,14803849;0;0;0;0
8e566cec7cb92689343a0d1f8ebb9e6d;4,367135455;0;0;0;0
eeba461fc15bd49a2bda2932eeb5f471;0;0;0;0;0,173210162
4844b7a3d51078ed09a25f7901cad1d5;0;0,146252285;0;0;0
3e252969c40ed29a9ce72b03ff742091;0;0,219378428;0;0;0
d370372dce9dd782d9b38610f9e81fd8;0;0;0;0;0,519630485
6d73c26e3c8d7d19562d1df294ae7d57;0;1,279707495;1,879568395;0;0,750577367
fd140c716f358a67f41f303637415ace;0;0,219378428;0,382875044;0;1,674364896
512499968ffbfa59a555eebf70d18cc6;0;0;0;0;0,115473441
d8695640053281d4997831139eb22430;0;0,255941499;0,208840933;0;2,482678984
a446b2957fd84f1c36a130eec2ec762b;0;4,387568556;8,875739645;0;22,4595843
715c1bc84a00f1721b09afe80c6d3865;0,14803849;0;0;0;0
62682d035ebcf99cf434b3da28cd606c;0;0;0,208840933;0;1,154734411
4cf5cbc29cc58195955c3f1ef3e6070c;0;0,365630713;0,313261399;0,894266176;0
073ebcf1b1b34870f75b310295795ce1;0;0,731261426;0,208840933;0;0
20f58ce0b7dbe1d0ed93fa81b9704c59;0;0,731261426;0,522102332;0;0
d45a40fddd29d7760144ab99376eb754;0;0;0,174034111;0;0,866050808
166453999302edd79bd8b2accab55a46;0;0;0;0,526038927;2,944572748
a2691f6d55ee447db8a8fd214b3bb065;0,999259808;0;0;0;0
cb2a19b02e17b78f6ae871eea843cc5f;0;0,073126143;0;0;0
a8ffc9a5f35dda80a32ec9db02af65d5;0;0;0;0;0
d827202e42f71e08fb4cb35e11467e97;0;0,877513711;0,417681866;0;0
